序号,单词,音标,中文释义,例句,例句翻译
75,animation,/ˌænɪˈmeɪʃn/,动画,She made a short animation in coding class.,她在编程课上做了一小段动画。
76,website,/ˈwebsaɪt/,网站,This website teaches kids to draw.,这个网站教小朋友画画。
77,search engine,/sɜːrtʃ ˈendʒɪn/,搜索引擎,I use a search engine to find answers.,我用搜索引擎找答案。
78,Wi-Fi,/ˈwaɪfaɪ/,无线网络,The hotel Wi-Fi is free for guests.,酒店的 Wi-Fi 对住客免费。
79,link,/lɪŋk/,链接,Click the link to open the video.,点击链接打开视频。
80,video,/ˈvɪdioʊ/,视频,I watched a fun video about dinosaurs.,我看了一个关于恐龙的趣味视频。
81,stream,/striːm/,在线播放,We stream music while doing homework.,我们边写作业边在线听音乐。
82,screenshot,/ˈskriːnʃɑːt/,截屏,Take a screenshot when you see a cool page.,看到漂亮的页面就截屏保存。
83,emoji,/ɪˈmoʊdʒi/,表情符号,I always add an emoji at the end of my message.,我发消息最后总要加一个表情。
84,AI,/ˌeɪˈaɪ/,人工智能,AI can help me check my spelling.,AI 可以帮我检查拼写。
85,chatbot,/ˈtʃætbɑːt/,聊天机器人,I chat with a bot to practice English.,我和聊天机器人练英语。
86,voice assistant,/vɔɪs əˈsɪstənt/,语音助手,I ask the voice assistant to set a timer.,我让语音助手设置计时器。
87,cloud,/klaʊd/,云端,My photos are saved in the cloud.,我的照片保存在云端。
88,podcast,/ˈpɑːdkæst/,播客,I listen to a science podcast on the bus.,我在公交车上听科普播客。
89,subscribe,/səbˈskraɪb/,订阅,Subscribe to get new videos every week.,订阅后每周都会收到新视频。
90,channel,/ˈtʃænl/,频道,She has her own video channel.,她有自己的视频频道。
91,comment,/ˈkɑːment/,评论,Leave a kind comment under the video.,在视频下面留一条友善的评论。
92,filter,/ˈfɪltər/,滤镜,I add a sunny filter to my photo.,我给照片加了一个阳光滤镜。
93,data,/ˈdeɪtə/,数据,The chart shows the data from last week.,这张图表展示的是上周的数据。
94,broadband,/ˈbrɔːdbænd/,宽带,The broadband is very fast at school.,学校的宽带速度很快。
95,domain,/doʊˈmeɪn/,域名,A website's domain is its address.,网站的域名就是它的地址。
96,privacy,/ˈpraɪvəsi/,隐私,Never share your password to protect your privacy.,为了保护隐私，绝不要把密码告诉别人。
97,stranger,/ˈstreɪndʒər/,陌生人,Don't talk to strangers online.,在网上不要和陌生人聊天。
98,scam,/skæm/,诈骗,That email sounds like a scam.,那封邮件听起来像是诈骗。
99,virus,/ˈvaɪrəs/,病毒,The computer caught a virus from a bad link.,电脑因为点错链接中了病毒。
100,firewall,/ˈfaɪərwɔːl/,防火墙,A firewall blocks dangerous programs.,防火墙会拦截危险的程序。
101,permission,/pərˈmɪʃn/,权限,The app asks permission to use my camera.,应用请求使用摄像头的权限。
102,report,/rɪˈpɔːrt/,举报,Report mean messages to the website.,把恶意的消息举报给网站。
103,copyright,/ˈkɑːpiraɪt/,版权,Don't copy pictures without checking copyright.,不查版权就复制图片是不对的。
104,spam,/spæm/,垃圾邮件,Move spam emails into the trash folder.,把垃圾邮件移到垃圾箱。
105,phishing,/ˈfɪʃɪŋ/,网络钓鱼,Phishing emails try to steal your password.,钓鱼邮件会骗取你的密码。
106,cybersafe,/ˈsaɪbərseɪf/,网络安全的,Always stay cybersafe when you go online.,上网时一定要保持网络安全。
107,digital,/ˈdɪdʒɪtl/,数字的,"A digital clock shows numbers, not hands.",数字时钟显示的是数字，不是指针。
108,online,/ˌɑːnˈlaɪn/,在线的,I learn English online with my friends.,我和朋友在线学英语。
109,offline,/ˌɔːfˈlaɪn/,离线的,Some games can be played offline.,有些游戏可以离线玩。
110,avatar,/ˈævətɑːr/,头像,I chose a cute puppy as my avatar.,我选了一只可爱的小狗当头像。
